tenancy,number
2616,56
2790,40
2356,71
647,6
607,5
1312,49
2714,16
733,1
1043,17
2710,184
2217,48
2681,96
1085,18
417,15
1941,48
1640,16
2577,72
885,8
2296,160
1604,68
2503,56
2684,80
2595,92
2369,56
368,2476
2385,1
1353,27
2757,136
975,15
2630,248
2177,61
2675,32
1564,1
1679,61
847,11
933,1
849,12
1068,18
1374,24
2237,48
2566,112
375,2646
2816,56
111,2824
1958,82
685,1
1928,48
2384,136
384,2208
2251,8
866,1
1865,1
2170,92
2244,64
2593,189
1972,50
1156,16
2709,176
212,3554
2229,70
1007,16
1785,41
1264,24
1544,33
1867,46
1969,50
263,3933
2600,222
2589,72
2735,72
2609,95
400,1876
1079,18
2672,304
2769,128
892,13
321,39
2732,144
868,12
2398,74
2810,80
1530,33
2396,1
1485,1
1161,21
1256,24
547,2
2044,54
1806,42
876,11
805,10
324,3351
1394,28
586,4
824,11
1836,40
1153,19
789,1
1187,22
1590,24
2258,65
1809,43
71,2019
698,6
2020,53
223,399
2372,40
1529,24
1839,16
2497,82
1169,21
79,2179
1148,20
1218,22
1474,8
1588,35
2203,62
1538,32
2459,112
2552,40
631,1
2512,220
2605,174
2521,148
1502,32
20,722
1857,44
1828,44
199,3871
1916,48
484,2
684,6
2466,80
2320,69
930,14
1057,18
1323,26
1939,57
203,3884
1370,27
164,3831
2514,24
2587,48
2567,145
1924,47
2699,240
803,1
1131,20
539,3
87,2331
2016,60
2095,71
1032,17
2028,52
2102,32
219,3916
240,3596
613,1
1820,68
2238,119
1373,27
673,7
2460,79
2058,54
307,3628
749,8
1668,37
895,13
67,1840
136,3026
1759,40
183,3732
1612,35
131,3104
2639,268
2821,16
355,2992
2649,103
2822,120
1088,18
2631,72
2038,54
2353,119
2671,456
2716,88
830,11
1933,49
2865,56
2771,112
2608,64
498,2
755,9
1513,32
1757,41
626,4
1890,46
615,5
2032,32
2196,48
2413,8
2390,114
2547,87
2697,104
1506,8
1988,90
2801,24
2601,80
2664,80
596,5
2915,8
2817,48
1712,40
360,2634
255,392
2098,56
2180,61
671,1
2236,104
1210,1
2677,104
2855,24
1054,17
340,2882
1212,22
1412,28
2316,144
424,1370
1158,21
1726,40
2779,56
1142,20
2783,168
1539,1
2483,137
2467,16
2376,73
435,1244
800,10
1040,16
1986,51
2475,40
2719,160
95,267
2889,16
2099,80
2767,104
1971,16
1597,1
28,904
949,14
1811,84
783,10
2457,79
777,10
1468,31
1403,1
1510,32
2527,56
2621,249
2037,53
1377,36
2146,1
2216,1
139,3280
1558,34
276,3474
2415,75
2777,112
444,800
952,14
2575,89
1494,1
2313,68
2439,48
2794,56
319,330
1695,1
328,3074
2576,113
88,2238
1367,27
1364,27
525,3
1442,38
123,2998
1906,32
1882,47
2173,41
566,4
1418,29
2214,32
2386,56
1891,1
1688,32
708,1
1723,40
1878,46
854,12
2,32641
2110,57
2689,296
2498,80
1964,50
311,3584
2556,88
2737,56
2330,70
2528,157
2847,64
1163,20
2679,168
973,1
1103,8
1134,20
1886,8
2142,16
2239,1
528,3
2465,79
415,117
486,1
2286,67
1740,41
224,3528
287,369
2606,135
356,2871
550,3
877,1
1027,1
2122,24
2157,59
598,4
2328,69
2023,53
383,204
2881,40
2741,80
2462,110
2808,96
2114,8
2297,107
1219,23
1864,45
2417,140
407,1961
408,1678
2878,24
682,7
463,460
727,8
1580,35
653,6
946,13
1650,61
192,3408
1931,1
320,3120
2562,89
1674,38
2806,64
1952,24
2350,135
2517,48
1798,43
2707,152
503,2
2706,96
1201,22
2827,80
670,6
1174,8
1671,38
1343,24
1145,20
1139,27
601,5
4,473471
621,5
636,6
1041,1
665,7
80,2116
836,1
1405,24
116,2714
140,3060
1613,1
1533,33
1859,54
1455,16
1383,28
1331,26
1479,31
1936,49
2027,24
1905,49
1572,34
2071,16
1314,25
2123,57
168,3354
707,7
2132,58
2213,63
1743,41
517,3
696,7
1453,30
1866,16
1568,8
1709,41
1771,42
2135,58
2815,8
2849,48
2797,64
431,1354
2453,78
569,4
1243,8
2520,8
2807,104
